Region,Model,Period,Season,Forecast_Sales,ColdStart_Forecast,Forecast_Sales_Final
Center,holt_winters,12,C,71305.30241706832,,71305.30241706832
Center,holt_winters,13,A,62526.46111571121,,62526.46111571121
Center,holt_winters,14,B,48551.21329669377,,48551.21329669377
Center,holt_winters,15,C,83603.50777227586,,83603.50777227586
East,,12,C,19339.0,27825.611681881586,27825.611681881586
East,,13,A,19339.0,38831.830033355094,38831.830033355094
East,,14,B,19339.0,38168.56906484729,38168.56906484729
East,,15,C,19339.0,50499.49150709317,50499.49150709317
North,holt_winters,12,C,44957.991097763566,,44957.991097763566
North,holt_winters,13,A,38461.23264615017,,38461.23264615017
North,holt_winters,14,B,39391.55556946316,,39391.55556946316
North,holt_winters,15,C,58704.41979155466,,58704.41979155466
South,,12,C,12320.0,17726.435488948817,17726.435488948817
South,,13,A,12320.0,24737.99813904208,24737.99813904208
South,,14,B,12320.0,24315.464650649912,24315.464650649912
South,,15,C,12320.0,32170.936210113654,32170.936210113654
West,ridge_season_trend,12,C,38656.96716417911,,38656.96716417911
West,ridge_season_trend,13,A,40814.26268656716,,40814.26268656716
West,ridge_season_trend,14,B,45116.31641791045,,45116.31641791045
West,ridge_season_trend,15,C,48911.611940298506,,48911.611940298506
